zagat.txt:176	fodors.txt:428
zagat.txt:225	fodors.txt:213
zagat.txt:256	fodors.txt:201
zagat.txt:234	fodors.txt:101
zagat.txt:216	fodors.txt:131
zagat.txt:228	fodors.txt:196
zagat.txt:49	fodors.txt:358
zagat.txt:64	fodors.txt:297
zagat.txt:288	fodors.txt:423
zagat.txt:119	fodors.txt:357
zagat.txt:152	fodors.txt:232
zagat.txt:55	fodors.txt:202
zagat.txt:198	fodors.txt:407
zagat.txt:213	fodors.txt:327
zagat.txt:272	fodors.txt:82
zagat.txt:36	fodors.txt:458
zagat.txt:284	fodors.txt:413
zagat.txt:70	fodors.txt:12
zagat.txt:227	fodors.txt:308
zagat.txt:112	fodors.txt:278
